rank,name,score,mumbers
233,银魂剧场版 完结篇 万事屋永不落,8.0,1608
234,降世神通：最后的气宗 第三季,8.1,262
235,银魂 JUMP动画巡回展 2005,8.0,533
236,我们仍未知道那天所看见的花的名字。,7.9,8855
237,黑礁,8.0,2258
238,重金属摇滚双面人,8.0,440
239,超智游戏,8.0,670
240,月色真美,8.0,1664
241,月刊少女野崎君,7.9,5387
242,疯狂动物城,8.0,1380
243,物语系列 第二季,7.9,3061
244,天体战士 第2期,8.0,603
245,少年同盟,8.0,2133
246,有顶天家族,7.9,2594
247,全金属狂潮 The Second Raid,7.9,2406
248,热带雨林的爆笑生活,7.9,1547
249,校园迷糊大王 二学期,7.9,1214
250,魔术师,8.2,123
251,猎人 OVA3,8.0,518
252,空之境界 第二章 杀人考察（前）,7.9,3639
253,魔法少女小圆 剧场版 [后篇] 永远的物语,7.9,1636
254,JOJO的奇妙冒险 幻影血脉,8.1,184
255,娜娜,7.9,1230
256,异邦人 无皇刃谭,7.9,1449
257,摇滚新乐团,8.0,362
258,希德尼娅的骑士 第九惑星战役,7.9,1639
259,红线,8.0,628
260,降世神通：最后的气宗 第二季,8.0,254
261,苍穹之法芙娜 EXODUS,8.0,553
262,猎人 OVA2,8.0,542
263,THE BIG-O,8.0,328
264,幽游白书,8.0,918
265,怪诞小镇 第一季,8.1,168
266,银河铁道999,8.4,70
267,热带雨林的爆笑生活DELUXE,8.0,616
268,吸血鬼猎人D,8.0,634
269,机动战士高达UC,7.9,1688
270,银魂剧场版 新译红樱篇,7.9,2250
271,热带雨林的爆笑生活FINAL,8.0,598
272,天元突破红莲螺岩 红莲篇,7.9,1089
273,南方公园 第16季,8.0,217
274,侧耳倾听,7.9,1331
275,星界的战旗II,8.1,157
276,斩服少女,7.9,3548
277,TIGER &amp; BUNNY,7.9,2298
278,马男波杰克,8.1,172
279,圣母在上 第3季,8.0,292
280,斗牌传说,7.9,649
281,秀逗魔导士,7.9,888
282,战斗妖精雪风,7.9,861
284,动物朋友,7.9,1616
285,赌博默示录 破戒录篇,7.9,1210
286,神枪少女,7.9,978
287,春宵苦短，少女前进吧！,8.2,99
288,剑风传奇 黄金时代篇III 降临,7.9,615
289,四叶游戏,7.9,544
290,空之境界 未来福音,7.9,1756
291,灵能百分百,7.9,2124
292,苍穹之法芙娜 EXODUS 第2期,7.9,397
293,空之境界 第四章 伽蓝之洞,7.9,3482
294,玛丽和马克思,8.0,206
295,罗德斯岛战记,7.9,378
296,李献计历险记,7.9,1026
297,传说巨神伊迪安 发动篇,8.2,88
298,黑礁 Roberta’s Blood Trail,7.9,1346
299,猎人,7.9,1938
300,南方公园 第15季,8.0,213
301,游戏王－怪兽之决斗,7.9,1002
302,AIR夏季篇,7.9,1948
303,葫芦兄弟,7.9,1533
304,小魔女DoReMi 大合奏,8.2,100
305,猫汤,7.9,816
306,×××HOLiC,7.9,1794
307,伤物语II 热血篇,7.9,804
308,瑞克和莫蒂 第三季,8.4,54
309,剑风传奇,7.9,415
310,星界的战旗III,8.1,125
311,数码暴龙03驯兽师之王,7.9,899
312,圣母在上 春,7.9,350
313,小马驹G4 第三季,8.1,117
314,俗・再见绝望先生,7.9,1581
315,宇宙战舰大和号2199 第四章「银河边境的攻防」,8.1,130
316,来来猫,8.0,202
317,剑豪生死斗,7.9,403
318,幸运星 OVA,7.9,1799
319,向阳素描×蜂窝,7.9,421
320,搞笑漫画日和＋,7.9,1239
321,阿滋漫画大王,7.9,1113
322,全金属狂潮,7.9,2791
323,现视研2,7.8,1218
324,你看起来很好吃,7.9,1204
325,人类衰退之后,7.8,3101
326,玲音,7.9,1015
327,来来猫 第二季,8.0,182
328,哈尔的移动城堡,7.8,2725
329,凉宫春日的忧郁 2009,7.8,4758
330,此时此刻的我,7.9,573
331,南方公园 第17季,8.0,194
332,真盖塔 世界最后之日,7.9,247
333,轻音少女 剧场版,7.8,2601
334,辉夜姬物语,7.9,545
335,偶像大师,7.8,2128
336,草莓棉花糖,7.8,1631
337,元气囝仔,7.8,2020
338,降世神通：最后的气宗 第一季,7.9,319
339,希德尼娅的骑士,7.8,2107
340,铳墓,7.9,486
341,圣母在上 第4季,7.9,325
342,勇者王GaoGaiGar,8.0,195
343,好想告诉你 第二季,7.8,2289
344,再见绝望先生,7.8,2399
345,幻想万华镜 春雪异变之章,7.8,1392
346,闪电十一人,7.9,257
347,有顶天家族2,7.8,742
348,魔法少女奈叶A's,7.8,1439
349,魔法少女小圆 剧场版 [前篇] 起始的物语,7.8,1599
350,阿基拉,7.8,913
351,×××HOLiC 笼,7.8,907
352,Kanon,7.8,3024
354,魔卡少女樱 被封印的卡片,7.8,1148
355,Heart Catch光之美少女 超级时尚秀在花之都...真的吗！？,7.9,208
356,剑风传奇 黄金时代篇II 多尔多雷攻略,7.8,638
357,忏・再见绝望先生,7.8,1271
359,交响情人梦 巴黎篇,7.8,910
361,星界的战旗,8.0,182
362,轻音少女,7.8,6069
363,食灵-零-,7.8,2779
364,空之境界 未来福音 extra chorus,7.8,1274
365,机动警察 东京毁灭战,7.9,297
366,凡尔赛玫瑰,8.2,69
367,浪客剑心,7.8,1002
368,进击的巨人,7.8,6808
393,NHK15个动画短片,7.8,1048
394,南方公园 第14季,8.0,112
395,末日时在做什么？有没有空？可以来拯救吗？,7.8,1417
396,奔向地球,7.9,263
397,Go! Princess 光之美少女,7.9,164
398,心理测量者 新编集版,7.8,1040
399,小马驹G4 第五季,8.1,85
400,南方公园 第11季,8.1,83
401,日常 （ETV版）,7.8,561
402,精灵宝可梦,7.8,1392
403,刀语,7.8,2337
404,寄生兽 生命的准则,7.8,3465
405,我的英雄学院 第二季,7.8,369
406,恶魔阿萨谢尔在召唤你,7.7,2499
407,向阳素描×365,7.8,560
408,魔女宅急便,7.8,1776
409,蜡笔小新 呼风唤雨！大人帝国的反击,7.9,151
410,查理布朗和史努比,7.9,185
411,头脑特工队,7.8,392
412,心理测量者,7.7,5119
413,鲁邦三世：卡里奥斯特罗城,7.8,240
414,超时空要塞Plus 剧场版,7.9,177
415,数码暴龙大冒险 我们的战争游戏,7.8,615
416,放浪男孩,7.7,1517
417,圣母在上,7.8,495
418,战国鬼才传,7.8,341
419,境界线上的地平线 第二季,7.7,1690
420,王立宇宙军 欧尼亚米斯之翼,7.8,393
421,灌篮高手 全国制霸吧！樱木花道,7.8,287
422,南方公园 第13季,7.9,112
424,鲁邦三世 ～名为峰不二子的女人～,7.7,1010
425,草莓棉花糖 OVA 第2期,7.7,747
426,秀逗魔导士TRY,7.8,504
427,五星物语 剧场版,7.8,303
428,阿凡提的故事,7.8,849
429,翼神传说,7.8,775
430,向阳素描×365 特别篇,7.8,350
431,向阳素描×☆☆☆,7.8,525
432,金田一少年事件簿,7.8,349
433,女仆咖啡厅,7.7,1654
434,宇宙战舰大和号2199 第三章「无尽的航海」,7.9,123
435,不可思议的教室,7.8,575
436,荒川爆笑团2,7.7,2504
437,高智能方程式：SIN,7.8,230
438,×××HOLiC・笼 徒梦,7.7,684
439,花园墙外,8.1,63
440,彩虹小马：友情就是魔法,8.0,92
441,甲贺忍法帖,7.7,907
369,玉子爱情故事,7.8,1898
370,马男波杰克3,8.1,87
371,东方活动写真馆,7.9,250
372,萤火虫之墓,7.8,1610
373,狼与香辛料,7.8,3514
374,忏・再见绝望先生 番外地,7.8,497
375,相聚一刻,8.0,133
376,现视研,7.8,1478
377,好想告诉你,7.8,2962
378,东之伊甸,7.8,3167
379,狱・再见绝望先生,7.8,879
380,九色鹿,7.8,640
381,听到涛声,7.8,796
382,探险活宝 第一季,8.0,120
383,草莓棉花糖 OVA 第1期,7.8,715
384,鲁邦三世,7.9,264
385,灰羽联盟,7.8,981
386,江户盗贼团五叶,7.8,976
387,苍穹之法芙娜 RIGHT OF LEFT,7.8,521
388,马男波杰克2,8.0,100
389,宇宙战舰大和号2199 第五章「望乡的银河间空间」,8.0,115
390,黑塔利亚 第2期,7.8,1434
391,南家三姐妹 我回来了,7.8,1801
392,飞屋环游记,7.8,1293
442,天才嘉年华,7.8,360
443,名侦探柯南 贝克街的亡灵,7.7,2088
444,宣告黎明的露之歌,8.0,77
445,伪物语,7.7,4727
446,第一神拳,8.1,61
447,最终幻想VII：降临之子,7.7,2141
448,南家三姐妹,7.7,2844
449,轻音少女 第二季,7.7,4597
450,探险活宝 第五季,8.1,60
451,幻想嘉年华,7.7,2622
452,变形金刚G1,7.9,110
453,游戏王5D's,7.8,500
454,魔法使光之美少女！,7.9,124
455,剑风传奇 黄金时代篇I 霸王之卵,7.7,717
456,迷糊餐厅 第二季,7.7,2845
457,×××HOLiC 春梦记,7.7,747
458,齐木楠雄的灾难,7.7,1871
459,真实之泪,7.7,2894
460,偶像大师 剧场版 向着光辉的彼岸！,7.7,764
461,请问您今天要来点兔子吗？？,7.7,1608
462,铁臂阿童木,7.7,535
463,玉响～毕业写真～,7.8,204
464,光之美少女全明星DX3 传达到未来！连结世界☆彩虹之花！,7.8,166
465,飞跃巅峰！剧场版,7.8,228
466,萤火之森,7.7,2855
467,鼹鼠的故事,7.8,145
468,怪 ～ayakashi ～,7.7,749
469,RWBY预告片,7.7,612
470,校园迷糊大王 一学期补习,7.7,660
471,魁!!库洛马迪高校,7.8,197
472,樱桃小丸子,7.7,707
473,飞出个未来 第1季,8.0,62
474,小蝌蚪找妈妈,7.7,398
475,Flip Flappers,7.7,999
476,狼与香辛料 第二季,7.7,2482
477,棋魂～通往北斗之路～,7.7,377
478,第一神拳 New Challenger,8.0,63
479,剧场版 精灵宝可梦：超梦的逆袭,7.7,584
480,宇宙战舰大和号2199 第六章「到达！大麦哲伦」,7.9,109
481,宇宙战舰大和号2199 第七章「战舰继续前进」,7.9,94
482,荒川爆笑团,7.7,3516
483,飞跃巅峰2！剧场版,7.8,250
484,兽爪,7.7,330
485,猫怪麦克,8.0,64
486,风人物语,7.7,269
487,青之文学,7.7,1328
488,失落的宇宙,7.7,469
489,黑塔利亚 第3期,7.7,926
490,黑塔利亚 第4期,7.7,779
491,大~集合！小魔女DoReMi,7.9,88
492,DARKER THAN BLACK -黑之契约者- 外传,7.7,1884
493,贤治之春,7.9,103
494,机动战士Z高达III 星星的鼓动就是爱,7.7,258
495,城市猎人,7.8,184
496,哪吒闹海,7.7,558
497,南方公园 第18季,7.8,121
498,和巴什尔跳华尔兹,8.1,54
499,间之楔,7.7,361
500,佛兰德斯的狗,8.0,60
501,地球防卫少年,7.7,1269
502,科拉传奇 第一季：气和,7.7,241
503,钻石王牌 第二季,7.8,196
504,蜡笔小新,7.7,479
505,南方公园 第9季,8.0,61
506,银魂精选集,7.7,294
507,无敌破坏王,7.7,427
508,原罪的卡辛,7.7,258
509,机动战士Z高达 星之继承者,7.7,332
510,只有我不存在的城市,7.7,2761
511,伤物语I 铁血篇,7.7,1195
512,圣诞夜惊魂,7.7,210
513,圣斗士星矢 冥王十二宫编,7.7,744
514,北斗神拳,7.7,353
515,小魔女学园 魔法游行,7.7,869
516,他和她的故事,7.7,766
517,避难所,7.7,648
518,机动战士高达 剧场版III 相逢在宇宙,7.8,168
519,高智能方程式：ZERO,7.7,212
520,花田少年史,7.7,205
521,魔方大厦,7.7,656
522,妖精的旋律,7.7,2777
523,猫物语（黑）,7.6,2946
524,南方公园 第1季,7.8,158
525,小魔女学园,7.7,1067
526,南方公园 第3季,7.9,73
527,机动警察 EARLY DAYS,7.8,168
528,探险活宝 第三季,8.0,62
529,欢乐树伙伴,7.7,493
530,南方公园 第12季,8.0,52
531,樱兰高校男公关部,7.7,2789
532,海洋之歌,7.7,219
533,银河英雄传说 我的征途是星辰大海,8.0,67
534,探险活宝 第四季,8.0,59
535,借东西的小人阿丽埃蒂,7.6,1624
536,功夫兔与菜包狗,7.8,92
537,魔法少女奈叶 The MOVIE 1st,7.6,958
538,摇曳百合♪♪,7.6,2637
539,雪孩子,7.7,373
540,恶魔阿萨谢尔在召唤你Z,7.6,1535
541,高智能方程式：Cyber Formula 11,7.7,211
542,精神分裂症,7.7,171
543,高达创战者,7.6,891
544,小魔女学园,7.6,1886
545,向阳素描×☆☆☆ 特别篇,7.7,274
546,怪医黑杰克 OVA,7.8,105
547,世界第一初恋2,7.6,1320
548,CLANNAD 另一个世界 智代篇,7.6,2149
549,进击的巨人 第二季,7.6,1604
550,蜡笔小新 呼风唤雨！战国大合战,7.8,159
551,夏目友人帐 曾几何时下雪之日,7.7,720
552,超时空要塞7,7.7,330
553,向阳素描×SP,7.7,271
554,幻想万华镜 红雾异变之章,7.7,631
555,美妙旋律 Rainbow Live,7.9,69
556,在这世界的角落,7.7,450
557,读或死 OVA,7.7,573
558,壳中少女 燃烧,7.6,878
559,命运石之门 负荷领域的既视感,7.6,2858
560,机动战士高达0083 星尘的回忆,7.6,749
561,平成狸合战,7.6,656
562,银河铁道之夜,7.8,138
563,鲁邦三世  第一期,7.9,72
564,视线之外,7.8,127
565,甜甜私房猫 第二季,7.7,351
566,悠哉日常大王 OAD,7.6,800
